species,sex,beak_length,beak_depth,tarsus_length,wing_length,tail_length
Alethe diademata,U,,,,92.0,77.0
Alethe diademata,U,,,,94.0,81.0
Alethe diademata,U,,,,80.0,69.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,85.0,66.0
Alethe diademata,U,,,,84.0,66.0
Alethe diademata,U,,,,83.0,66.0
Alethe diademata,U,,,,85.0,68.0
Alethe diademata,U,,,,94.0,77.0
Alethe diademata,U,,,,89.0,72.0
Alethe diademata,U,,,,90.0,72.0
Alethe diademata,U,,,,89.0,73.0
Alethe diademata,U,,,,89.0,73.0
Alethe diademata,U,,,,85.0,71.0
Alethe diademata,U,,,,70.0,68.0
Alethe diademata,U,,,,87.0,69.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,85.0,65.0
Alethe diademata,U,,,,86.0,68.0
Alethe diademata,U,,,,85.0,67.0
Alethe diademata,U,,,,88.0,70.0
Alethe diademata,U,,,,88.0,73.0
Alethe diademata,U,,,,88.0,72.0
Alethe diademata,U,,,,86.0,65.0
Alethe diademata,U,,,,89.0,68.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,93.0,78.0
Alethe diademata,U,,,,97.0,78.0
Alethe diademata,U,,,,90.0,72.0
Alethe diademata,U,,,,85.0,
Alethe diademata,U,,,,85.0,66.0
Alethe diademata,U,,,,95.0,81.0
Alethe diademata,U,,,,87.0,72.0
Alethe diademata,U,,,,86.0,70.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,,70.0
Alethe diademata,U,,,,84.0,69.0
Alethe diademata,U,,,,84.0,69.0
Alethe diademata,U,,,,86.0,
Alethe diademata,U,,,,97.0,75.0
Alethe diademata,U,,,,95.0,75.0
Alethe diademata,U,,,,84.0,68.0
Alethe diademata,U,,,,83.0,67.0
Alethe diademata,U,,,,95.0,77.0
Alethe diademata,U,,,,96.0,73.0
Alethe diademata,U,,,,95.0,71.0
Alethe diademata,U,,,,98.0,83.0
Alethe diademata,U,,,,86.0,70.0
Alethe diademata,U,,,,81.0,69.0
Alethe diademata,U,,,,86.0,66.0
Alethe diademata,U,,,,85.5,66.0
Alethe diademata,U,,,,91.0,68.0
Alethe diademata,U,,,,85.0,67.0
Alethe diademata,U,,,,86.0,68.0
Alethe diademata,U,,,,92.0,71.0
Alethe diademata,U,,,,87.0,74.0
Alethe diademata,U,,,,91.0,74.0
Alethe diademata,U,,,,91.0,73.0
Alethe diademata,U,,,,91.0,75.0
Alethe diademata,U,,,,90.0,70.0
Alethe diademata,U,,,,89.0,75.0
Alethe diademata,U,,,,80.0,61.0
Alethe diademata,U,,,,80.0,61.0
Alethe diademata,U,,,,93.0,74.0
Alethe diademata,U,,,,87.0,70.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,89.0,
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,91.0,76.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,92.0,70.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,96.0,86.0
Alethe diademata,U,,,,94.0,69.0
Alethe diademata,U,,,,78.0,69.0
Alethe diademata,U,,,,87.0,
Alethe diademata,U,,,,92.0,74.0
Alethe diademata,U,,,,92.0,75.0
Alethe diademata,U,,,,89.0,69.0
Alethe diademata,U,,,,88.0,68.0
Alethe diademata,U,,,,88.0,55.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,95.0,80.0
Alethe diademata,U,,,,91.0,85.0
Alethe diademata,U,,,,94.0,85.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,98.0,81.0
Alethe diademata,U,,,,92.0,74.0
Alethe diademata,U,,,,95.0,76.0
Alethe diademata,U,,,,87.0,71.0
Alethe diademata,U,,,,86.0,72.0
Alethe diademata,U,,,,97.0,79.0
Alethe diademata,U,,,,92.0,71.0
Alethe diademata,U,,,,92.0,71.0
Alethe diademata,U,,,,77.0,69.0
Alethe diademata,U,,,,95.0,68.0
Alethe diademata,U,,,,91.0,75.0
Alethe diademata,U,,,,91.0,70.0
Alethe diademata,U,,,,90.0,71.0
Alethe diademata,U,,,,89.0,69.0
Alethe diademata,U,,,,88.0,68.0
Alethe diademata,U,,,,88.0,70.0
Alethe diademata,U,,,,87.0,71.0
Alethe diademata,U,,,,90.0,71.0
Alethe diademata,U,,,,85.0,69.0
Alethe diademata,U,,,,87.0,71.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,92.0,68.0
Alethe diademata,U,,,,93.0,83.0
Alethe diademata,U,,,,97.0,78.0
Alethe diademata,U,,,,94.0,76.0
Alethe diademata,U,,,,88.0,66.0
Alethe diademata,U,,,,92.0,74.0
Alethe diademata,U,,,,97.0,70.0
Alethe diademata,U,,,,96.0,79.0
Alethe diademata,U,,,,85.0,66.0
Alethe diademata,U,,,,87.0,70.0
Alethe diademata,U,,,,98.0,68.0
Alethe diademata,U,,,,89.0,71.0
Alethe diademata,U,,,,96.0,76.0
Alethe diademata,U,,,,85.0,66.0
Alethe diademata,U,,,,90.0,69.0
Alethe diademata,U,,,,89.0,70.0
Alethe diademata,U,,,,89.0,69.0
Alethe diademata,U,,,,,63.0
Alethe diademata,U,,,,94.0,76.0
Alethe diademata,U,,,,94.0,76.0
Alethe diademata,U,,,,86.0,72.0
Alethe diademata,U,,,,91.0,71.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,96.0,75.0
Alethe diademata,U,,,,97.0,68.0
Alethe diademata,U,,,,88.0,54.0
Alethe diademata,U,,,,80.0,69.0
Alethe diademata,U,,,,88.0,70.0
Alethe diademata,U,,,,85.0,67.0
Alethe diademata,U,,,,99.0,80.0
Alethe diademata,U,,,,97.0,85.0
Alethe diademata,U,,,,99.0,82.0
Alethe diademata,U,,,,86.0,70.0
Alethe diademata,U,,,,90.0,73.0
Alethe diademata,U,,,,94.0,78.0
Alethe diademata,U,,,,85.0,72.0
Alethe diademata,U,,,,96.0,77.0
Alethe diademata,U,,,,84.0,68.0
Alethe diademata,U,,,,87.0,68.0
Alethe diademata,U,,,,93.0,70.0
Alethe diademata,U,,,,98.0,77.0
Alethe diademata,U,,,,91.0,72.0
Alethe diademata,U,,,,93.0,73.0
Alethe diademata,U,,,,98.0,78.0
Alethe diademata,U,,,,86.0,67.0
Alethe diademata,U,,,,95.0,78.0
Alethe diademata,U,,,,87.0,69.0
Alethe diademata,U,,,,92.0,71.0
Alethe diademata,U,,,,95.0,78.0
Alethe diademata,U,,,,96.0,74.0
Alethe diademata,U,,,,,56.0
Alethe diademata,M,19.4,5.2,27.8,90.0,82.0
Bleda notatus,M,21.2,6.9,25.0,94.0,87.0
Bleda notatus,F,21.8,6.7,25.5,94.0,81.0
Bleda notatus,F,,6.6,24.7,84.0,66.0
Bleda notatus,F,18.5,6.2,24.8,89.0,77.0
Bleda notatus,F,19.8,6.0,24.1,85.0,71.0
Bleda notatus,M,20.8,6.5,25.4,92.0,77.0
Bleda notatus,F,20.5,6.2,25.8,94.0,79.0
Bleda notatus,F,19.2,6.0,24.6,90.0,77.0
Bleda notatus,F,20.5,6.4,25.9,90.0,70.0
Bleda notatus,U,,,,88.0,77.0
Bleda notatus,U,,,,84.0,74.0
Bleda notatus,U,,,,88.0,77.0
Bleda notatus,U,,,,97.0,87.0
Bleda notatus,U,,,,91.0,81.0
Bleda notatus,U,,,,95.0,87.0
Bleda notatus,U,,,,95.0,86.0
Bleda notatus,U,,,,93.0,79.0
Bleda notatus,U,,,,89.0,83.0
Bleda notatus,U,,,,91.0,85.0
Bleda notatus,U,,,,92.0,82.0
Bleda notatus,U,,,,87.0,79.0
Bleda notatus,U,,,,87.0,79.0
Bleda notatus,U,,,,89.0,80.0
Bleda notatus,U,,,,88.0,82.0
Bleda notatus,U,,,,98.0,88.0
Bleda notatus,U,,,,94.0,80.0
Bleda notatus,U,,,,91.0,84.0
Bleda notatus,U,,,,84.0,75.0
Bleda notatus,U,,,,89.0,76.0
Bleda notatus,U,,,,87.0,81.0
Bleda notatus,U,,,,98.0,87.0
Bleda notatus,U,,,,95.0,91.0
Bleda notatus,U,,,,89.0,81.0
Bleda notatus,U,,,,88.0,80.0
Bleda notatus,U,,,,95.0,88.0
Bleda notatus,U,,,,89.0,78.0
Bleda notatus,U,,,,87.0,78.0
Bleda notatus,U,,,,86.0,76.0
Bleda notatus,U,,,,86.0,79.0
Bleda notatus,U,,,,89.0,80.0
Bleda notatus,U,,,,87.0,75.0
Bleda notatus,U,,,,87.0,77.0
Bleda notatus,U,,,,95.0,83.0
Bleda notatus,U,,,,88.0,75.0
Bleda notatus,U,,,,90.0,74.0
Bleda notatus,U,,,,91.0,76.0
Bleda notatus,U,,,,94.0,
Bleda notatus,U,,,,90.0,80.0
Bleda notatus,U,,,,98.0,88.0
Bleda notatus,U,,,,96.0,88.0
Bleda notatus,U,,,,75.0,77.0
Bleda notatus,U,,,,85.0,80.0
Bleda notatus,U,,,,83.0,76.0
Bleda notatus,U,,,,89.0,83.0
Bleda notatus,U,,,,90.0,
Bleda notatus,U,,,,90.0,
Bleda notatus,U,,,,90.0,81.0
Bleda notatus,U,,,,87.0,80.0
Bleda notatus,U,,,,96.0,
Bleda notatus,U,,,,81.0,72.0
Bleda notatus,U,,,,82.0,77.0
Bleda notatus,U,,,,86.0,82.0
Bleda notatus,U,,,,87.0,83.0
Bleda notatus,U,,,,88.0,83.0
Bleda notatus,U,,,,86.0,82.0
Bleda notatus,U,,,,87.0,80.0
Bleda notatus,U,,,,86.0,81.0
Bleda notatus,U,,,,87.0,84.0
Bleda notatus,U,,,,96.0,89.0
Bleda notatus,U,,,,94.0,88.0
Bleda notatus,U,,,,91.0,84.0
Bleda notatus,U,,,,93.0,84.0
Bleda notatus,U,,,,94.0,85.0
Bleda notatus,U,,,,97.0,87.0
Bleda notatus,U,,,,85.0,78.0
Bleda notatus,U,,,,86.0,77.0
Bleda notatus,U,,,,88.0,83.0
Bleda notatus,U,,,,90.0,79.0
Bleda notatus,U,,,,89.0,
Bleda notatus,U,,,,82.0,73.0
Bleda notatus,U,,,,94.0,78.0
Bleda notatus,U,,,,94.0,
Bleda notatus,U,,,,87.0,83.0
Bleda notatus,U,,,,93.0,84.0
Bleda notatus,U,,,,95.0,
Bleda notatus,U,,,,93.0,75.0
Bleda notatus,U,,,,90.0,82.0
Bleda notatus,U,,,,95.0,83.0
Bleda notatus,U,,,,95.0,84.0
Bleda notatus,U,,,,94.0,86.0
Bleda notatus,U,,,,95.0,83.0
Bleda notatus,U,,,,87.0,78.0
Bleda notatus,U,,,,81.0,73.0
Bleda notatus,U,,,,81.0,74.0
Bleda notatus,U,,,,94.0,
Bleda notatus,U,,,,92.0,84.0
Bleda notatus,U,,,,92.0,86.0
Bleda notatus,U,,,,91.0,63.0
Bleda notatus,U,,,,89.0,82.0
Bleda notatus,U,,,,90.0,85.0
Bleda notatus,U,,,,98.0,
Bleda notatus,U,,,,93.0,76.0
Bleda notatus,U,,,,,78.0
Bleda notatus,U,,,,88.0,78.0
Bleda notatus,U,,,,86.0,80.0
Bleda notatus,U,,,,93.0,73.0
Bleda notatus,U,,,,91.0,83.0
Bleda notatus,U,,,,96.0,83.0
Bleda notatus,U,,,,91.0,82.0
Bleda notatus,U,,,,96.0,91.0
Bleda notatus,U,,,,83.0,
Bleda notatus,U,,,,88.0,81.0
Bleda notatus,U,,,,100.0,92.0
Bleda notatus,U,,,,96.0,92.0
Bleda notatus,U,,,,85.0,65.0
Bleda notatus,U,,,,94.0,88.0
Bleda notatus,U,,,,80.0,70.0
Bleda notatus,U,,,,,83.0
Bleda notatus,U,,,,85.0,80.0
Bleda notatus,U,,,,93.0,82.0
Bleda notatus,U,,,,91.0,83.0
Bleda notatus,U,,,,86.0,83.0
Bleda notatus,U,,,,86.0,81.0
Bleda notatus,U,,,,91.0,85.0
Bleda notatus,U,,,,87.0,75.0
Bleda notatus,U,,,,88.0,83.0
Bleda notatus,U,,,,86.0,85.0
Bleda notatus,U,,,,86.0,
Bleda notatus,U,,,,95.0,73.0
Bleda notatus,U,,,,95.0,91.0
Bleda notatus,U,,,,93.0,89.0
Bleda notatus,U,,,,88.0,78.0
Bleda notatus,U,,,,91.0,80.0
Bleda notatus,U,,,,87.0,78.0
Bleda notatus,U,,,,93.0,83.0
Bleda notatus,U,,,,89.0,
Bleda notatus,U,,,,93.0,84.0
Bleda notatus,U,,,,87.0,76.0
Bleda notatus,U,,,,86.0,82.0
Bleda notatus,U,,,,87.0,80.0
Bleda notatus,U,,,,86.0,80.0
Bleda notatus,U,,,,95.0,85.0
Bleda notatus,U,,,,95.0,
Bleda notatus,U,,,,87.0,76.0
Bleda notatus,U,,,,90.0,
Bleda notatus,U,,,,97.0,86.0
Bleda notatus,U,,,,95.0,88.0
Bleda notatus,U,,,,86.0,83.0
Bleda notatus,U,,,,93.0,73.0
Bleda notatus,U,,,,,75.0
Bleda notatus,U,,,,90.0,86.0
Bleda notatus,U,,,,90.0,88.0
Bleda notatus,U,,,,81.0,62.0
Bleda notatus,U,,,,85.0,
Bleda notatus,U,,,,96.0,
Bleda notatus,U,,,,91.0,83.0
Bleda notatus,U,,,,92.0,86.0
Bleda notatus,U,,,,92.0,88.0
Bleda notatus,U,,,,94.0,85.0
Bleda notatus,U,,,,95.0,81.0
Bleda notatus,U,,,,95.0,89.0
Bleda notatus,U,,,,82.0,71.0
Bleda notatus,U,,,,90.0,82.0
Bleda notatus,U,,,,90.0,70.0
Bleda notatus,U,,,,92.0,
Bleda notatus,U,,,,92.0,86.0
Bleda notatus,U,,,,88.0,80.0
Bleda notatus,U,,,,97.0,86.0
Bleda notatus,U,,,,91.0,84.0
Bleda notatus,U,,,,82.0,76.0
Bleda notatus,U,,,,104.0,92.0
Bleda notatus,U,,,,88.0,80.0
Bleda notatus,U,,,,85.0,74.0
Bleda notatus,U,,,,86.0,
Bleda notatus,U,,,,82.0,76.0
Bleda notatus,U,,,,87.0,78.0
Bleda notatus,U,,,,85.0,78.0
Bleda notatus,U,,,,84.0,78.0
Bleda notatus,U,,,,91.0,76.0
Bleda notatus,U,,,,95.0,68.0
Bleda notatus,U,,,,84.0,81.0
Bleda notatus,U,,,,91.0,76.0
Bleda notatus,U,,,,90.0,85.0
Bleda notatus,U,,,,92.0,86.0
Bleda notatus,U,,,,92.0,96.0
Bleda notatus,U,,,,95.0,90.0
Bleda notatus,U,,,,87.0,77.0
Bleda notatus,U,,,,89.0,80.0
Bleda notatus,U,,,,93.0,86.0
Bleda notatus,U,,,,90.0,82.0
Bleda notatus,U,,,,96.0,86.0
Bleda notatus,U,,,,95.0,85.0
Bleda notatus,U,,,,96.0,89.0
Bleda notatus,U,,,,95.0,
Bleda notatus,U,,,,95.0,85.0
Bleda notatus,U,,,,87.0,72.0
Bleda notatus,U,,,,93.0,83.0
Bleda notatus,U,,,,88.0,76.0
Bleda notatus,U,,,,89.0,87.0
Bleda notatus,U,,,,95.0,88.0
Bleda notatus,U,,,,85.0,77.0
Bleda notatus,U,,,,92.0,86.0
Bleda notatus,U,,,,94.0,88.0
Bleda notatus,U,,,,94.0,86.0
Bleda notatus,U,,,,89.0,80.0
Bleda notatus,U,,,,86.0,77.0
Bleda notatus,U,,,,98.0,89.0
Bleda notatus,U,,,,86.0,72.0
Bleda notatus,U,,,,92.0,82.0
Bleda notatus,U,,,,98.0,88.0
Bleda notatus,U,,,,81.0,83.0
Bleda notatus,U,,,,90.0,84.0
Bleda notatus,U,,,,94.0,86.0
Bleda notatus,U,,,,86.0,80.0
Bleda notatus,U,,,,88.0,81.0
Bleda notatus,U,,,,87.0,81.0
Bleda notatus,U,,,,93.0,84.0
Bleda notatus,U,,,,95.0,85.0
Bleda notatus,U,,,,97.0,92.0
Cinnyris jugularis,M,19.5,2.7,14.4,51.0,32.0
Cinnyris jugularis,F,22.3,2.8,,52.0,33.0
Cinnyris jugularis,M,22.9,2.8,,55.0,37.0
Cinnyris jugularis,M,25.2,2.7,,58.0,37.0
Cinnyris jugularis,F,23.5,2.9,,51.0,34.0
Cinnyris jugularis,M,23.9,,,55.0,36.0
Cinnyris jugularis,F,19.3,2.9,13.8,47.0,29.0
Cinnyris jugularis,F,18.5,2.7,13.9,47.0,26.0
Cinnyris jugularis,F,22.3,,,50.0,30.0
Cinnyris jugularis,M,19.9,2.9,14.6,52.0,32.0
Cinnyris jugularis,M,21.3,,,51.0,
Cinnyris jugularis,M,22.2,,,51.0,
Cinnyris jugularis,F,20.0,,,51.0,32.5
Cinnyris jugularis,F,21.9,,,51.0,35.0
Cinnyris jugularis,F,20.7,,,51.0,33.0
Cinnyris jugularis,M,21.5,,,52.0,34.0
Cinnyris jugularis,M,22.4,,,50.0,32.0
Cinnyris jugularis,M,20.3,,,50.0,35.0
Cinnyris jugularis,M,20.1,,,50.0,32.0
Cinnyris jugularis,M,21.1,,,49.5,33.5
Cinnyris jugularis,M,20.1,,,52.0,35.0
Cinnyris jugularis,F,19.6,,,52.0,
Cinnyris jugularis,M,22.6,,,51.0,30.0
Cinnyris jugularis,F,18.4,,,53.0,35.0
Cinnyris jugularis,M,19.6,,,52.0,33.0
Cinnyris jugularis,F,16.7,,,55.0,
Cinnyris jugularis,M,20.4,,,51.5,33.0
Cinnyris jugularis,M,21.2,,,53.0,33.0
Cinnyris jugularis,F,20.2,,,50.0,32.0
Cinnyris jugularis,F,19.5,,,52.0,34.0
Cinnyris jugularis,F,21.5,,,51.0,34.0
Cinnyris jugularis,F,19.6,,,51.0,34.0
Cinnyris jugularis,M,18.9,,,55.0,
Cinnyris jugularis,F,21.1,,,49.0,33.0
Cinnyris jugularis,M,20.1,,,55.0,
Cinnyris jugularis,M,20.3,,,55.0,
Cinnyris jugularis,M,21.4,,,56.0,39.0
Cinnyris jugularis,M,22.0,,,53.0,37.0
Cinnyris jugularis,M,21.3,,,53.5,36.0
Cinnyris jugularis,M,21.4,,,55.0,37.0
Cinnyris jugularis,M,19.6,,,53.5,33.0
Cinnyris jugularis,M,19.5,,,54.0,
Cinnyris jugularis,M,19.8,,,53.0,34.0
Cinnyris jugularis,F,21.1,,,51.0,32.0
Cinnyris jugularis,M,20.9,,,54.0,
Cinnyris jugularis,M,,,,54.0,
Cinnyris jugularis,M,,,,54.0,
Cinnyris jugularis,F,18.6,,,55.0,
Cinnyris jugularis,M,18.3,,,51.0,
Cinnyris jugularis,M,18.8,,,51.0,
Cinnyris jugularis,M,20.2,,,52.0,
Cinnyris jugularis,M,20.9,,,53.0,
Cinnyris jugularis,M,19.7,,,50.0,
Cinnyris jugularis,F,,,,52.0,
Cinnyris jugularis,F,19.1,2.6,13.3,56.5,
Cinnyris jugularis,M,20.8,2.4,14.2,57.0,
Cinnyris jugularis,M,21.4,2.4,14.1,56.5,
Cinnyris jugularis,M,20.4,2.6,14.5,56.0,
Cinnyris jugularis,F,20.9,2.6,14.0,51.0,35.0
Cinnyris jugularis,F,20.0,2.3,15.8,51.0,35.0
Cinnyris jugularis,M,21.8,2.5,13.8,56.5,
Cinnyris jugularis,M,20.9,2.5,13.9,55.5,
Cinnyris jugularis,F,20.1,2.3,14.0,52.0,33.0
Cinnyris jugularis,F,21.6,2.4,13.5,55.0,32.0
Cinnyris jugularis,F,21.0,2.3,14.3,52.0,32.0
Cinnyris jugularis,M,20.8,2.6,14.2,56.0,
Cinnyris jugularis,F,20.7,2.6,13.8,51.0,32.5
Cinnyris jugularis,U,21.1,,13.1,56.0,
Cinnyris jugularis,M,21.7,2.7,14.3,54.0,
Cinnyris jugularis,F,20.7,2.4,13.3,54.0,35.0
Cinnyris jugularis,M,22.2,2.4,14.7,54.0,
Cinnyris jugularis,F,20.8,2.5,14.6,50.5,34.0
Cinnyris jugularis,F,20.7,,14.2,50.0,32.0
Cinnyris jugularis,F,20.1,,13.5,51.0,33.0
Cinnyris jugularis,M,21.5,,13.9,54.0,34.5
Cinnyris jugularis,M,22.1,2.7,14.3,55.0,
Cinnyris jugularis,F,18.8,,13.6,49.5,33.0
Cinnyris jugularis,M,21.6,2.6,14.4,57.5,
Cinnyris jugularis,M,20.9,2.8,14.0,58.0,
Cinnyris jugularis,M,21.5,2.6,13.4,58.0,
Cinnyris jugularis,F,19.2,,14.3,,
Cinnyris jugularis,M,21.3,2.5,14.6,58.0,
Cinnyris jugularis,M,21.6,2.6,14.3,57.0,
Cinnyris jugularis,F,21.6,2.6,13.4,,
Cinnyris jugularis,F,20.1,,14.3,49.0,34.0
Cinnyris jugularis,M,21.7,2.7,15.0,51.0,34.0
Cinnyris jugularis,M,21.1,2.6,15.4,49.0,32.0
Cinnyris jugularis,F,19.9,,14.0,50.0,31.0
Cinnyris jugularis,M,21.2,2.5,15.4,49.0,32.0
Cinnyris jugularis,M,20.9,2.8,15.5,52.0,34.0
Cinnyris jugularis,M,20.4,2.6,15.1,52.5,32.0
